2020-11-03 11:43:42,318 [INFO    ] 16912 16128 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:43:42,320 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604421822.3198633
2020-11-03 11:43:42,320 [INFO    ] 16912 16452 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604421822.3208644
2020-11-03 11:43:42,651 [INFO    ] 16912 16128 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=866aab71-33a5-45bb-9a42-ef9f9adc668e
2020-11-03 11:43:42,652 [INFO    ] 16912 16128 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(866aab71-33a5-45bb-9a42-ef9f9adc668e, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:43:42,654 [INFO    ] 16912 3596 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(866aab71-33a5-45bb-9a42-ef9f9adc668e, {'aggTrade'}, ['btcusdt']) socket_id=e1801801-0e69-4686-96a2-104ea0d2182b recent_socket_id=e1801801-0e69-4686-96a2-104ea0d2182b
2020-11-03 11:43:42,654 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(866aab71-33a5-45bb-9a42-ef9f9adc668e, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:43:42,654 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(866aab71-33a5-45bb-9a42-ef9f9adc668e, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:43:42,654 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(866aab71-33a5-45bb-9a42-ef9f9adc668e, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
2020-11-03 11:43:42,654 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(866aab71-33a5-45bb-9a42-ef9f9adc668e, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:43:42,655 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(866aab71-33a5-45bb-9a42-ef9f9adc668e, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:43:42,655 [INFO    ] 16912 3596 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_websocket_uri({'aggTrade'}, ['btcusdt'], , False) - Created websocket URI for stream_id=866aab71-33a5-45bb-9a42-ef9f9adc668e is wss://fstream.binance.com/stream?streams=btcusdt@aggTrade
2020-11-03 11:43:43,506 [INFO    ] 16912 3596 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(866aab71-33a5-45bb-9a42-ef9f9adc668e, {'aggTrade'}, ['btcusdt'] socket_id=e1801801-0e69-4686-96a2-104ea0d2182b recent_socket_id=e1801801-0e69-4686-96a2-104ea0d2182b - Sending payload started ...
2020-11-03 11:43:43,506 [INFO    ] 16912 3596 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(866aab71-33a5-45bb-9a42-ef9f9adc668e, {'aggTrade'}, ['btcusdt'] - Sending payload: {'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}
2020-11-03 11:43:43,842 [INFO    ] 16912 3596 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(866aab71-33a5-45bb-9a42-ef9f9adc668e) - Received result message: {"id":1,"result":null}
2020-11-03 11:43:44,138 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 302 B/s at 2020-11-03, 16:43:44 UTC
2020-11-03 11:43:45,041 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 921 B/s at 2020-11-03, 16:43:45 UTC
2020-11-03 11:44:18,176 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 1.13 kB/s at 2020-11-03, 16:44:18 UTC
2020-11-03 11:44:21,188 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 4.06 kB/s at 2020-11-03, 16:44:21 UTC
2020-11-03 11:44:22,093 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 5.64 kB/s at 2020-11-03, 16:44:22 UTC
2020-11-03 11:44:30,227 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 6.76 kB/s at 2020-11-03, 16:44:30 UTC
2020-11-03 11:45:44,032 [INFO    ] 16912 12304 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 11.73 kB/s at 2020-11-03, 16:45:44 UTC
2020-11-03 11:46:39,886 [INFO    ] 10196 10948 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
2020-11-03 11:46:39,888 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() new instance created with frequent_checks_id=1604421999.8883986
2020-11-03 11:46:39,888 [INFO    ] 10196 6700 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._keepalive_streams() new instance created with keepalive_streams_id=1604421999.8883986
2020-11-03 11:46:40,136 [INFO    ] 10196 10948 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_stream({'aggTrade'}, ['btcusdt'], None, False, False) with stream_id=44899cf9-17e2-4fa7-9169-bc949c0d4461
2020-11-03 11:46:40,136 [INFO    ] 10196 10948 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._add_stream_to_stream_list(44899cf9-17e2-4fa7-9169-bc949c0d4461, {'aggTrade'}, ['btcusdt'], None, False, False)
2020-11-03 11:46:40,139 [INFO    ] 10196 13040 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(44899cf9-17e2-4fa7-9169-bc949c0d4461, {'aggTrade'}, ['btcusdt']) socket_id=e8eeacf7-39ff-43ec-8de4-61653a5029c0 recent_socket_id=e8eeacf7-39ff-43ec-8de4-61653a5029c0
2020-11-03 11:46:40,139 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(44899cf9-17e2-4fa7-9169-bc949c0d4461, {'aggTrade'}, ['btcusdt']) started ...
2020-11-03 11:46:40,139 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(44899cf9-17e2-4fa7-9169-bc949c0d4461, ['aggTrade'], ['btcusdt']) started ...
2020-11-03 11:46:40,140 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(44899cf9-17e2-4fa7-9169-bc949c0d4461, ['aggTrade'], ['btcusdt']) Payload: [{'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}]
2020-11-03 11:46:40,140 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_payload(44899cf9-17e2-4fa7-9169-bc949c0d4461, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:46:40,140 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.subscribe_to_stream(44899cf9-17e2-4fa7-9169-bc949c0d4461, ['aggTrade'], ['btcusdt']) finished ...
2020-11-03 11:46:40,140 [INFO    ] 10196 13040 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager.create_websocket_uri({'aggTrade'}, ['btcusdt'], , False) - Created websocket URI for stream_id=44899cf9-17e2-4fa7-9169-bc949c0d4461 is wss://fstream.binance.com/stream?streams=btcusdt@aggTrade
2020-11-03 11:46:41,058 [INFO    ] 10196 13040 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(44899cf9-17e2-4fa7-9169-bc949c0d4461, {'aggTrade'}, ['btcusdt'] socket_id=e8eeacf7-39ff-43ec-8de4-61653a5029c0 recent_socket_id=e8eeacf7-39ff-43ec-8de4-61653a5029c0 - Sending payload started ...
2020-11-03 11:46:41,058 [INFO    ] 10196 13040 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(44899cf9-17e2-4fa7-9169-bc949c0d4461, {'aggTrade'}, ['btcusdt'] - Sending payload: {'method': 'SUBSCRIBE', 'params': ['btcusdt@aggTrade'], 'id': 1}
2020-11-03 11:46:41,395 [INFO    ] 10196 13040 unicorn_binance_websocket_api_socket: BinanceWebSocketApiSocket.start_socket(44899cf9-17e2-4fa7-9169-bc949c0d4461) - Received result message: {"id":1,"result":null}
2020-11-03 11:46:42,295 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 71 B/s at 2020-11-03, 16:46:42 UTC
2020-11-03 11:46:43,199 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 231 B/s at 2020-11-03, 16:46:43 UTC
2020-11-03 11:46:44,101 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 462 B/s at 2020-11-03, 16:46:44 UTC
2020-11-03 11:46:51,034 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 2.25 kB/s at 2020-11-03, 16:46:51 UTC
2020-11-03 11:46:54,045 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 3.15 kB/s at 2020-11-03, 16:46:54 UTC
2020-11-03 11:47:29,278 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 3.83 kB/s at 2020-11-03, 16:47:29 UTC
2020-11-03 11:48:54,203 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 5.86 kB/s at 2020-11-03, 16:48:54 UTC
2020-11-03 11:49:08,080 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 6.09 kB/s at 2020-11-03, 16:49:08 UTC
2020-11-03 11:49:31,267 [INFO    ] 10196 14068 unicorn_binance_websocket_api_manager: BinanceWebSocketApiManager._frequent_checks() - reached new `highest_receiving_speed` 10.38 kB/s at 2020-11-03, 16:49:31 UTC
2020-11-03 11:54:35,246 [INFO    ] 4940 9556 unicorn_binance_websocket_api_manager: New instance of unicorn-binance-websocket-api_1.26.0-python_3.7.6 started ...
